"id";"employeeid";"datefiled";"dateeffective";"leavetypeid";"cutoffid";"status";"year";"remarks";"created_at";"updated_at";"quantity"
41;53;"2021-06-01";"2021-06-01";1;0;2;2021;"From import migration";"2021-09-14 21:49:22.000000";"2021-09-14 21:49:22.000000";1.0
42;568;"2021-05-18";"2021-05-18";1;0;2;2021;"From import migration";"2021-09-14 21:49:22.000000";"2021-09-14 21:49:22.000000";1.0
43;568;"2021-05-19";"2021-05-19";1;0;2;2021;"From import migration";"2021-09-14 21:49:22.000000";"2021-09-14 21:49:22.000000";1.0
44;568;"2021-05-20";"2021-05-20";1;0;2;2021;"From import migration";"2021-09-14 21:49:22.000000";"2021-09-14 21:49:22.000000";1.0
45;718;"2021-06-04";"2021-06-04";1;0;2;2021;"From import migration";"2021-09-14 21:49:22.000000";"2021-09-14 21:49:22.000000";1.0
46;718;"2021-06-05";"2021-06-05";1;0;2;2021;"From import migration";"2021-09-14 21:49:22.000000";"2021-09-14 21:49:22.000000";1.0
47;893;"2021-05-27";"2021-05-27";1;0;2;2021;"From import migration";"2021-09-14 21:49:22.000000";"2021-09-14 21:49:22.000000";1.0
48;893;"2021-05-28";"2021-05-28";1;0;2;2021;"From import migration";"2021-09-14 21:49:22.000000";"2021-09-14 21:49:22.000000";1.0
49;893;"2021-05-29";"2021-05-29";1;0;2;2021;"From import migration";"2021-09-14 21:49:22.000000";"2021-09-14 21:49:22.000000";1.0
50;893;"2021-05-31";"2021-05-31";1;0;2;2021;"From import migration";"2021-09-14 21:49:22.000000";"2021-09-14 21:49:22.000000";1.0
51;1119;"2021-05-03";"2021-05-03";1;0;2;2021;"From import migration";"2021-09-14 21:49:22.000000";"2021-09-14 21:49:22.000000";1.0
52;1119;"2021-05-04";"2021-05-04";1;0;2;2021;"From import migration";"2021-09-14 21:49:22.000000";"2021-09-14 21:49:22.000000";1.0
53;1119;"2021-05-05";"2021-05-05";1;0;2;2021;"From import migration";"2021-09-14 21:49:22.000000";"2021-09-14 21:49:22.000000";1.0
54;1119;"2021-05-06";"2021-05-06";1;0;2;2021;"From import migration";"2021-09-14 21:49:22.000000";"2021-09-14 21:49:22.000000";1.0
55;1119;"2021-05-07";"2021-05-07";1;0;2;2021;"From import migration";"2021-09-14 21:49:22.000000";"2021-09-14 21:49:22.000000";1.0
56;1369;"2021-06-10";"2021-06-10";1;0;2;2021;"From import migration";"2021-09-14 21:49:22.000000";"2021-09-14 21:49:22.000000";1.0
57;1768;"2021-07-09";"2021-07-09";1;0;2;2021;"From import migration";"2021-09-14 21:49:22.000000";"2021-09-14 21:49:22.000000";1.0
58;1768;"2021-07-10";"2021-07-10";1;0;2;2021;"From import migration";"2021-09-14 21:49:22.000000";"2021-09-14 21:49:22.000000";1.0
59;1768;"2021-07-12";"2021-07-12";1;0;2;2021;"From import migration";"2021-09-14 21:49:22.000000";"2021-09-14 21:49:22.000000";1.0
60;2587;"2021-06-14";"2021-06-14";1;0;2;2021;"From import migration";"2021-09-14 21:49:22.000000";"2021-09-14 21:49:22.000000";1.0
61;2587;"2021-06-29";"2021-06-29";1;0;2;2021;"From import migration";"2021-09-14 21:49:22.000000";"2021-09-14 21:49:22.000000";1.0
62;1193;"2021-05-17";"2021-05-17";1;0;2;2021;"From import migration";"2021-09-14 21:49:22.000000";"2021-09-14 21:49:22.000000";1.0
63;1193;"2021-05-18";"2021-05-18";1;0;2;2021;"From import migration";"2021-09-14 21:49:22.000000";"2021-09-14 21:49:22.000000";1.0
64;1193;"2021-05-19";"2021-05-19";1;0;2;2021;"From import migration";"2021-09-14 21:49:22.000000";"2021-09-14 21:49:22.000000";1.0
65;1978;"2021-06-10";"2021-06-10";1;0;2;2021;"From import migration";"2021-09-14 21:49:22.000000";"2021-09-14 21:49:22.000000";1.0
66;1295;"2021-04-22";"2021-04-22";1;0;2;2021;"From import migration";"2021-09-14 21:49:22.000000";"2021-09-14 21:49:22.000000";1.0
67;1295;"2021-05-03";"2021-05-03";1;0;2;2021;"From import migration";"2021-09-14 21:49:22.000000";"2021-09-14 21:49:22.000000";1.0
68;1295;"2021-09-04";"2021-09-04";1;0;2;2021;"From import migration";"2021-09-14 21:49:22.000000";"2021-09-14 21:49:22.000000";1.0
69;1321;"2021-04-21";"2021-04-21";1;0;2;2021;"From import migration";"2021-09-14 21:49:22.000000";"2021-09-14 21:49:22.000000";1.0
70;1321;"2021-07-30";"2021-07-30";1;0;2;2021;"From import migration";"2021-09-14 21:49:22.000000";"2021-09-14 21:49:22.000000";1.0
71;1321;"2021-09-09";"2021-09-09";1;0;2;2021;"From import migration";"2021-09-14 21:49:22.000000";"2021-09-14 21:49:22.000000";1.0
72;1982;"2021-04-27";"2021-04-27";1;0;2;2021;"From import migration";"2021-09-14 21:49:22.000000";"2021-09-14 21:49:22.000000";1.0
73;2145;"2021-08-10";"2021-08-10";1;0;2;2021;"From import migration";"2021-09-14 21:49:22.000000";"2021-09-14 21:49:22.000000";1.0
74;63;"2021-03-09";"2021-03-09";1;0;2;2021;"From import migration";"2021-09-14 21:49:22.000000";"2021-09-14 21:49:22.000000";1.0
75;63;"2021-03-10";"2021-03-10";1;0;2;2021;"From import migration";"2021-09-14 21:49:22.000000";"2021-09-14 21:49:22.000000";1.0
76;63;"2021-04-12";"2021-04-12";1;0;2;2021;"From import migration";"2021-09-14 21:49:22.000000";"2021-09-14 21:49:22.000000";1.0
77;139;"2021-08-16";"2021-08-16";1;0;2;2021;"From import migration";"2021-09-14 21:49:22.000000";"2021-09-14 21:49:22.000000";1.0
78;139;"2021-08-17";"2021-08-17";1;0;2;2021;"From import migration";"2021-09-14 21:49:22.000000";"2021-09-14 21:49:22.000000";1.0
79;144;"2021-02-20";"2021-02-20";1;0;2;2021;"From import migration";"2021-09-14 21:49:22.000000";"2021-09-14 21:49:22.000000";1.0
80;144;"2021-09-04";"2021-09-04";1;0;2;2021;"From import migration";"2021-09-14 21:49:22.000000";"2021-09-14 21:49:22.000000";1.0
81;152;"2021-07-10";"2021-07-10";1;0;2;2021;"From import migration";"2021-09-14 21:49:22.000000";"2021-09-14 21:49:22.000000";1.0
82;152;"2021-07-12";"2021-07-12";1;0;2;2021;"From import migration";"2021-09-14 21:49:22.000000";"2021-09-14 21:49:22.000000";1.0
83;219;"2021-09-21";"2021-09-21";1;0;2;2021;"From import migration";"2021-09-14 21:49:22.000000";"2021-09-14 21:49:22.000000";1.0
84;219;"2021-09-22";"2021-09-22";1;0;2;2021;"From import migration";"2021-09-14 21:49:22.000000";"2021-09-14 21:49:22.000000";1.0
85;300;"2021-01-30";"2021-01-30";1;0;2;2021;"From import migration";"2021-09-14 21:49:22.000000";"2021-09-14 21:49:22.000000";1.0
86;300;"2021-05-05";"2021-05-05";1;0;2;2021;"From import migration";"2021-09-14 21:49:22.000000";"2021-09-14 21:49:22.000000";1.0
87;300;"2021-05-19";"2021-05-19";1;0;2;2021;"From import migration";"2021-09-14 21:49:22.000000";"2021-09-14 21:49:22.000000";1.0
88;300;"2021-05-20";"2021-05-20";1;0;2;2021;"From import migration";"2021-09-14 21:49:22.000000";"2021-09-14 21:49:22.000000";1.0
89;318;"2021-06-21";"2021-06-21";1;0;2;2021;"From import migration";"2021-09-14 21:49:22.000000";"2021-09-14 21:49:22.000000";1.0
90;465;"2021-04-24";"2021-04-24";1;0;2;2021;"From import migration";"2021-09-14 21:49:22.000000";"2021-09-14 21:49:22.000000";1.0
91;515;"2021-07-07";"2021-07-07";1;0;2;2021;"From import migration";"2021-09-14 21:49:22.000000";"2021-09-14 21:49:22.000000";1.0
92;616;"2021-07-05";"2021-07-05";1;0;2;2021;"From import migration";"2021-09-14 21:49:22.000000";"2021-09-14 21:49:22.000000";1.0
93;616;"2021-07-06";"2021-07-06";1;0;2;2021;"From import migration";"2021-09-14 21:49:22.000000";"2021-09-14 21:49:22.000000";1.0
94;616;"2021-07-07";"2021-07-07";1;0;2;2021;"From import migration";"2021-09-14 21:49:22.000000";"2021-09-14 21:49:22.000000";0.5
95;654;"2021-08-27";"2021-08-27";1;0;2;2021;"From import migration";"2021-09-14 21:49:22.000000";"2021-09-14 21:49:22.000000";1.0
96;670;"2021-07-19";"2021-07-19";1;0;2;2021;"From import migration";"2021-09-14 21:49:22.000000";"2021-09-14 21:49:22.000000";1.0
97;670;"2021-08-02";"2021-08-02";1;0;2;2021;"From import migration";"2021-09-14 21:49:22.000000";"2021-09-14 21:49:22.000000";1.0
98;670;"2021-08-24";"2021-08-24";1;0;2;2021;"From import migration";"2021-09-14 21:49:22.000000";"2021-09-14 21:49:22.000000";0.5
99;833;"2021-08-06";"2021-08-06";1;0;2;2021;"From import migration";"2021-09-14 21:49:22.000000";"2021-09-14 21:49:22.000000";1.0
100;833;"2021-08-07";"2021-08-07";1;0;2;2021;"From import migration";"2021-09-14 21:49:22.000000";"2021-09-14 21:49:22.000000";1.0
101;856;"2021-08-17";"2021-08-17";1;0;2;2021;"From import migration";"2021-09-14 21:49:22.000000";"2021-09-14 21:49:22.000000";1.0
102;977;"2021-08-23";"2021-08-23";1;0;2;2021;"From import migration";"2021-09-14 21:49:22.000000";"2021-09-14 21:49:22.000000";1.0
103;977;"2021-08-24";"2021-08-24";1;0;2;2021;"From import migration";"2021-09-14 21:49:22.000000";"2021-09-14 21:49:22.000000";1.0
104;1010;"2021-06-11";"2021-06-11";1;0;2;2021;"From import migration";"2021-09-14 21:49:22.000000";"2021-09-14 21:49:22.000000";1.0
105;1010;"2021-07-16";"2021-07-16";1;0;2;2021;"From import migration";"2021-09-14 21:49:22.000000";"2021-09-14 21:49:22.000000";1.0
106;1086;"2021-08-11";"2021-08-11";1;0;2;2021;"From import migration";"2021-09-14 21:49:22.000000";"2021-09-14 21:49:22.000000";1.0
107;1086;"2021-08-26";"2021-08-26";1;0;2;2021;"From import migration";"2021-09-14 21:49:22.000000";"2021-09-14 21:49:22.000000";0.5
108;1086;"2021-08-27";"2021-08-27";1;0;2;2021;"From import migration";"2021-09-14 21:49:22.000000";"2021-09-14 21:49:22.000000";1.0
109;1096;"2021-08-10";"2021-08-10";1;0;2;2021;"From import migration";"2021-09-14 21:49:22.000000";"2021-09-14 21:49:22.000000";1.0
110;1096;"2021-08-11";"2021-08-11";1;0;2;2021;"From import migration";"2021-09-14 21:49:22.000000";"2021-09-14 21:49:22.000000";1.0
111;1100;"2021-07-09";"2021-07-09";1;0;2;2021;"From import migration";"2021-09-14 21:49:22.000000";"2021-09-14 21:49:22.000000";1.0
112;1100;"2021-07-10";"2021-07-10";1;0;2;2021;"From import migration";"2021-09-14 21:49:22.000000";"2021-09-14 21:49:22.000000";1.0
113;1100;"2021-08-02";"2021-08-02";1;0;2;2021;"From import migration";"2021-09-14 21:49:22.000000";"2021-09-14 21:49:22.000000";0.5
114;1208;"2021-08-09";"2021-08-09";1;0;2;2021;"From import migration";"2021-09-14 21:49:22.000000";"2021-09-14 21:49:22.000000";1.0
115;1216;"2021-08-20";"2021-08-20";1;0;2;2021;"From import migration";"2021-09-14 21:49:22.000000";"2021-09-14 21:49:22.000000";1.0
116;1216;"2021-08-23";"2021-08-23";1;0;2;2021;"From import migration";"2021-09-14 21:49:22.000000";"2021-09-14 21:49:22.000000";1.0
117;1216;"2021-08-24";"2021-08-24";1;0;2;2021;"From import migration";"2021-09-14 21:49:22.000000";"2021-09-14 21:49:22.000000";0.5
118;1243;"2021-04-14";"2021-04-14";1;0;2;2021;"From import migration";"2021-09-14 21:49:22.000000";"2021-09-14 21:49:22.000000";1.0
119;1243;"2021-04-15";"2021-04-15";1;0;2;2021;"From import migration";"2021-09-14 21:49:22.000000";"2021-09-14 21:49:22.000000";1.0
120;1243;"2021-04-16";"2021-04-16";1;0;2;2021;"From import migration";"2021-09-14 21:49:22.000000";"2021-09-14 21:49:22.000000";1.0
121;1243;"2021-04-22";"2021-04-22";1;0;2;2021;"From import migration";"2021-09-14 21:49:22.000000";"2021-09-14 21:49:22.000000";1.0
122;1243;"2021-04-23";"2021-04-23";1;0;2;2021;"From import migration";"2021-09-14 21:49:22.000000";"2021-09-14 21:49:22.000000";1.0
123;1296;"2021-05-31";"2021-05-31";1;0;2;2021;"From import migration";"2021-09-14 21:49:22.000000";"2021-09-14 21:49:22.000000";1.0
124;1296;"2021-06-01";"2021-06-01";1;0;2;2021;"From import migration";"2021-09-14 21:49:22.000000";"2021-09-14 21:49:22.000000";1.0
125;1296;"2021-06-02";"2021-06-02";1;0;2;2021;"From import migration";"2021-09-14 21:49:22.000000";"2021-09-14 21:49:22.000000";1.0
126;1314;"2021-06-17";"2021-06-17";1;0;2;2021;"From import migration";"2021-09-14 21:49:22.000000";"2021-09-14 21:49:22.000000";1.0
127;1314;"2021-06-18";"2021-06-18";1;0;2;2021;"From import migration";"2021-09-14 21:49:22.000000";"2021-09-14 21:49:22.000000";1.0
128;1314;"2021-06-21";"2021-06-21";1;0;2;2021;"From import migration";"2021-09-14 21:49:22.000000";"2021-09-14 21:49:22.000000";1.0
129;1314;"2021-06-22";"2021-06-22";1;0;2;2021;"From import migration";"2021-09-14 21:49:22.000000";"2021-09-14 21:49:22.000000";1.0
130;1314;"2021-06-23";"2021-06-23";1;0;2;2021;"From import migration";"2021-09-14 21:49:22.000000";"2021-09-14 21:49:22.000000";1.0
131;1373;"2021-09-04";"2021-09-04";1;0;2;2021;"From import migration";"2021-09-14 21:49:22.000000";"2021-09-14 21:49:22.000000";1.0
132;1373;"2021-09-05";"2021-09-05";1;0;2;2021;"From import migration";"2021-09-14 21:49:22.000000";"2021-09-14 21:49:22.000000";1.0
133;1373;"2021-09-07";"2021-09-07";1;0;2;2021;"From import migration";"2021-09-14 21:49:22.000000";"2021-09-14 21:49:22.000000";0.5
134;1521;"2021-07-07";"2021-07-07";1;0;2;2021;"From import migration";"2021-09-14 21:49:22.000000";"2021-09-14 21:49:22.000000";1.0
135;1521;"2021-07-08";"2021-07-08";1;0;2;2021;"From import migration";"2021-09-14 21:49:22.000000";"2021-09-14 21:49:22.000000";1.0
136;1521;"2021-07-09";"2021-07-09";1;0;2;2021;"From import migration";"2021-09-14 21:49:22.000000";"2021-09-14 21:49:22.000000";0.5
137;1558;"2021-08-28";"2021-08-28";1;0;2;2021;"From import migration";"2021-09-14 21:49:22.000000";"2021-09-14 21:49:22.000000";1.0
138;1716;"2021-08-11";"2021-08-11";1;0;2;2021;"From import migration";"2021-09-14 21:49:22.000000";"2021-09-14 21:49:22.000000";1.0
139;1716;"2021-08-26";"2021-08-26";1;0;2;2021;"From import migration";"2021-09-14 21:49:22.000000";"2021-09-14 21:49:22.000000";1.0
140;1809;"2021-08-18";"2021-08-18";1;0;2;2021;"From import migration";"2021-09-14 21:49:22.000000";"2021-09-14 21:49:22.000000";1.0
141;1884;"2021-07-15";"2021-07-15";1;0;2;2021;"From import migration";"2021-09-14 21:49:22.000000";"2021-09-14 21:49:22.000000";1.0
142;1884;"2021-07-16";"2021-07-16";1;0;2;2021;"From import migration";"2021-09-14 21:49:22.000000";"2021-09-14 21:49:22.000000";1.0
143;1897;"2021-04-15";"2021-04-15";1;0;2;2021;"From import migration";"2021-09-14 21:49:22.000000";"2021-09-14 21:49:22.000000";1.0
144;1897;"2021-04-26";"2021-04-26";1;0;2;2021;"From import migration";"2021-09-14 21:49:22.000000";"2021-09-14 21:49:22.000000";1.0
145;1897;"2021-04-27";"2021-04-27";1;0;2;2021;"From import migration";"2021-09-14 21:49:22.000000";"2021-09-14 21:49:22.000000";1.0
146;1897;"2021-04-28";"2021-04-28";1;0;2;2021;"From import migration";"2021-09-14 21:49:22.000000";"2021-09-14 21:49:22.000000";1.0
147;1935;"2021-09-06";"2021-09-06";1;0;2;2021;"From import migration";"2021-09-14 21:49:22.000000";"2021-09-14 21:49:22.000000";1.0
148;1935;"2021-09-07";"2021-09-07";1;0;2;2021;"From import migration";"2021-09-14 21:49:22.000000";"2021-09-14 21:49:22.000000";1.0
149;1935;"2021-09-08";"2021-09-08";1;0;2;2021;"From import migration";"2021-09-14 21:49:22.000000";"2021-09-14 21:49:22.000000";1.0
150;1996;"2021-08-25";"2021-08-25";1;0;2;2021;"From import migration";"2021-09-14 21:49:22.000000";"2021-09-14 21:49:22.000000";1.0
151;2032;"2021-05-05";"2021-05-05";1;0;2;2021;"From import migration";"2021-09-14 21:49:22.000000";"2021-09-14 21:49:22.000000";1.0
152;2032;"2021-05-06";"2021-05-06";1;0;2;2021;"From import migration";"2021-09-14 21:49:22.000000";"2021-09-14 21:49:22.000000";1.0
153;2032;"2021-05-07";"2021-05-07";1;0;2;2021;"From import migration";"2021-09-14 21:49:22.000000";"2021-09-14 21:49:22.000000";1.0
154;2032;"2021-05-08";"2021-05-08";1;0;2;2021;"From import migration";"2021-09-14 21:49:22.000000";"2021-09-14 21:49:22.000000";1.0
155;2248;"2021-04-16";"2021-04-16";1;0;2;2021;"From import migration";"2021-09-14 21:49:22.000000";"2021-09-14 21:49:22.000000";1.0
156;2387;"2021-05-03";"2021-05-03";1;0;2;2021;"From import migration";"2021-09-14 21:49:22.000000";"2021-09-14 21:49:22.000000";1.0
157;2387;"2021-05-04";"2021-05-04";1;0;2;2021;"From import migration";"2021-09-14 21:49:22.000000";"2021-09-14 21:49:22.000000";1.0
158;2387;"2021-05-05";"2021-05-05";1;0;2;2021;"From import migration";"2021-09-14 21:49:22.000000";"2021-09-14 21:49:22.000000";1.0
159;2399;"2021-07-13";"2021-07-13";1;0;2;2021;"From import migration";"2021-09-14 21:49:22.000000";"2021-09-14 21:49:22.000000";1.0
160;2399;"2021-07-14";"2021-07-14";1;0;2;2021;"From import migration";"2021-09-14 21:49:22.000000";"2021-09-14 21:49:22.000000";1.0
161;2399;"2021-08-04";"2021-08-04";1;0;2;2021;"From import migration";"2021-09-14 21:49:22.000000";"2021-09-14 21:49:22.000000";0.5
162;2591;"2021-06-11";"2021-06-11";1;0;2;2021;"From import migration";"2021-09-14 21:49:22.000000";"2021-09-14 21:49:22.000000";1.0
163;2591;"2021-07-15";"2021-07-15";1;0;2;2021;"From import migration";"2021-09-14 21:49:22.000000";"2021-09-14 21:49:22.000000";1.0
164;2591;"2021-07-16";"2021-07-16";1;0;2;2021;"From import migration";"2021-09-14 21:49:22.000000";"2021-09-14 21:49:22.000000";0.5
165;2601;"2021-07-05";"2021-07-05";1;0;2;2021;"From import migration";"2021-09-14 21:49:22.000000";"2021-09-14 21:49:22.000000";1.0
166;2601;"2021-08-19";"2021-08-19";1;0;2;2021;"From import migration";"2021-09-14 21:49:22.000000";"2021-09-14 21:49:22.000000";1.0
167;2610;"2021-07-21";"2021-07-21";1;0;2;2021;"From import migration";"2021-09-14 21:49:22.000000";"2021-09-14 21:49:22.000000";1.0
168;2714;"2021-04-22";"2021-04-22";1;0;2;2021;"From import migration";"2021-09-14 21:49:22.000000";"2021-09-14 21:49:22.000000";1.0
169;2714;"2021-04-27";"2021-04-27";1;0;2;2021;"From import migration";"2021-09-14 21:49:22.000000";"2021-09-14 21:49:22.000000";1.0
170;2714;"2021-07-22";"2021-07-22";1;0;2;2021;"From import migration";"2021-09-14 21:49:22.000000";"2021-09-14 21:49:22.000000";1.0
171;2714;"2021-09-04";"2021-09-04";1;0;2;2021;"From import migration";"2021-09-14 21:49:22.000000";"2021-09-14 21:49:22.000000";1.0
172;2729;"2021-05-15";"2021-05-15";1;0;2;2021;"From import migration";"2021-09-14 21:49:22.000000";"2021-09-14 21:49:22.000000";1.0
173;2729;"2021-07-31";"2021-07-31";1;0;2;2021;"From import migration";"2021-09-14 21:49:22.000000";"2021-09-14 21:49:22.000000";1.0
174;2729;"2021-08-30";"2021-08-30";1;0;2;2021;"From import migration";"2021-09-14 21:49:22.000000";"2021-09-14 21:49:22.000000";1.0
175;335;"2021-03-11";"2021-03-11";1;0;2;2021;"From import migration";"2021-09-14 21:49:22.000000";"2021-09-14 21:49:22.000000";1.0
176;335;"2021-03-17";"2021-03-17";1;0;2;2021;"From import migration";"2021-09-14 21:49:22.000000";"2021-09-14 21:49:22.000000";1.0
177;233;"2021-01-08";"2021-01-08";1;0;2;2021;"From import migration";"2021-09-14 21:49:22.000000";"2021-09-14 21:49:22.000000";1.0
178;233;"2021-01-09";"2021-01-09";1;0;2;2021;"From import migration";"2021-09-14 21:49:22.000000";"2021-09-14 21:49:22.000000";1.0
179;233;"2021-02-16";"2021-02-16";1;0;2;2021;"From import migration";"2021-09-14 21:49:22.000000";"2021-09-14 21:49:22.000000";1.0
180;233;"2021-02-17";"2021-02-17";1;0;2;2021;"From import migration";"2021-09-14 21:49:22.000000";"2021-09-14 21:49:22.000000";1.0
181;233;"2021-04-16";"2021-04-16";1;0;2;2021;"From import migration";"2021-09-14 21:49:22.000000";"2021-09-14 21:49:22.000000";1.0
182;992;"2021-08-27";"2021-08-27";1;0;2;2021;"From import migration";"2021-09-14 21:49:22.000000";"2021-09-14 21:49:22.000000";1.0
183;992;"2021-08-31";"2021-08-31";1;0;2;2021;"From import migration";"2021-09-14 21:49:22.000000";"2021-09-14 21:49:22.000000";1.0
184;992;"2021-09-01";"2021-09-01";1;0;2;2021;"From import migration";"2021-09-14 21:49:22.000000";"2021-09-14 21:49:22.000000";1.0
185;992;"2021-09-02";"2021-09-02";1;0;2;2021;"From import migration";"2021-09-14 21:49:22.000000";"2021-09-14 21:49:22.000000";1.0
186;992;"2021-09-03";"2021-09-03";1;0;2;2021;"From import migration";"2021-09-14 21:49:22.000000";"2021-09-14 21:49:22.000000";1.0
187;1170;"2021-05-17";"2021-05-17";1;0;2;2021;"From import migration";"2021-09-14 21:49:22.000000";"2021-09-14 21:49:22.000000";1.0
188;1170;"2021-05-18";"2021-05-18";1;0;2;2021;"From import migration";"2021-09-14 21:49:22.000000";"2021-09-14 21:49:22.000000";1.0
